Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,KMeans_Cluster
32.0,0,21.0,7.0,5.0,29.0,2,2,331.0,6.0,1.0,0
31.0,0,60.0,11.0,0.0,15.0,0,2,876.14,13.0,0.0,3
28.0,0,60.0,19.0,10.0,26.0,2,2,234.0,1.0,1.0,0
36.0,0,36.0,16.0,1.0,17.0,2,0,828.69,4.0,0.0,3
31.0,0,50.0,21.0,1.0,10.0,2,2,790.41,5.0,0.0,3
23.0,1,56.0,21.0,2.0,19.0,1,2,598.69,26.0,0.0,2
45.0,1,32.0,22.0,7.0,10.0,0,0,975.26,1.0,1.0,1
35.0,0,56.0,14.0,5.0,18.0,1,1,647.0,1.0,1.0,3
50.0,1,49.0,26.0,3.0,11.0,1,0,932.31,25.0,0.0,1
31.0,1,40.0,18.0,1.0,7.0,1,2,707.15,12.0,0.0,2
60.0,1,5.0,26.0,6.0,17.0,1,2,903.45,28.0,1.0,2
37.0,0,38.0,21.0,2.0,15.0,0,0,882.9,7.0,0.0,3
48.0,0,29.0,5.0,2.0,15.0,2,2,946.96,9.0,0.0,3
52.0,1,54.0,11.0,2.0,14.0,1,2,315.19,11.0,1.0,2
44.0,0,59.0,2.0,1.0,4.0,1,2,606.91,12.0,0.0,3
30.0,1,49.0,20.0,4.0,6.0,1,2,542.0,1.0,1.0,2
50.0,1,47.0,1.0,3.0,7.0,2,0,896.11,19.0,0.0,1
18.0,0,30.0,20.0,2.0,19.0,0,2,112.31,17.0,1.0,3
30.0,0,36.0,18.0,0.0,5.0,2,0,857.66,5.0,0.0,3
46.0,1,2.0,24.0,3.0,7.0,2,0,922.47,24.0,0.0,1
19.0,1,53.0,10.0,8.0,8.0,1,0,297.0,20.0,1.0,0
31.0,1,54.0,10.0,7.0,9.0,2,1,856.81,14.0,1.0,2
62.0,0,10.0,11.0,6.0,20.0,2,0,837.0,22.0,1.0,0
47.0,0,37.0,5.0,5.0,30.0,0,2,734.0,13.0,1.0,0
41.0,1,27.0,3.0,3.0,13.0,2,0,852.84,28.0,0.0,1
19.0,1,32.0,10.0,8.0,11.0,1,0,353.0,17.0,1.0,0
62.0,0,28.0,5.0,7.0,6.0,0,1,759.0,21.0,1.0,0
21.0,1,26.0,8.0,0.0,10.0,2,0,715.56,30.0,0.0,1
65.0,1,51.0,2.0,8.0,20.0,2,2,826.0,18.0,1.0,0
23.0,1,32.0,5.0,7.0,4.0,0,0,457.25,20.0,1.0,1
62.0,1,10.0,22.0,9.0,4.0,0,1,861.0,17.0,1.0,0
47.0,1,38.0,17.0,0.0,14.0,1,2,853.87,19.0,0.0,2
26.0,0,24.0,30.0,1.0,12.0,1,1,963.0,23.0,1.0,3
61.0,1,53.0,16.0,5.0,16.0,2,2,331.0,29.0,1.0,0
19.0,0,3.0,29.0,3.0,1.0,1,1,942.0,18.0,1.0,3
30.0,0,33.0,7.0,0.0,8.0,1,0,875.11,7.0,0.0,3
50.0,0,12.0,12.0,4.0,17.0,1,2,963.81,4.0,0.0,3
40.0,0,38.0,16.0,3.0,12.0,1,0,509.49,12.0,0.0,3
19.0,0,30.0,24.0,1.0,9.0,2,0,916.69,1.0,0.0,3
27.0,0,27.0,24.0,6.0,8.0,2,0,181.0,24.0,1.0,0
54.0,1,12.0,14.0,3.0,23.0,1,0,191.0,9.0,1.0,0
25.0,1,8.0,3.0,1.0,10.0,2,2,121.0,27.0,1.0,2
62.0,0,15.0,4.0,3.0,10.0,1,1,112.0,17.0,1.0,0
52.0,1,58.0,19.0,7.0,13.0,2,0,291.0,5.0,1.0,0
37.0,0,44.0,30.0,0.0,29.0,2,1,352.64,1.0,1.0,3
46.0,1,29.0,12.0,3.0,15.0,2,2,762.16,23.0,0.0,2
49.0,0,54.0,29.0,1.0,4.0,0,0,674.91,9.0,0.0,3
46.0,1,29.0,14.0,1.0,6.0,2,0,528.83,27.0,0.0,1
26.0,1,55.0,23.0,3.0,19.0,2,2,695.0,27.0,1.0,2
33.0,1,49.0,13.0,3.0,18.0,2,1,482.0,16.0,1.0,2
61.0,0,40.0,29.0,10.0,14.0,2,0,165.0,27.0,1.0,0
48.0,0,16.0,13.0,1.0,3.0,1,1,317.91,1.0,1.0,3
40.0,1,41.0,11.0,4.0,23.0,2,1,707.0,6.0,1.0,2
43.0,0,48.0,28.0,2.0,11.0,0,0,680.45,7.0,0.0,3
42.0,1,32.0,22.0,3.0,12.0,0,2,768.51,20.0,0.0,2
50.0,1,60.0,8.0,3.0,6.0,1,2,834.88,27.0,0.0,2
33.0,1,20.0,18.0,7.0,10.0,0,0,608.0,23.0,1.0,1
30.0,1,50.0,25.0,2.0,2.0,1,2,633.83,5.0,0.0,2
39.0,0,59.0,8.0,2.0,11.0,1,0,805.06,1.0,0.0,3
54.0,1,4.0,10.0,4.0,28.0,1,2,654.0,3.0,1.0,0
49.0,0,49.0,2.0,8.0,6.0,0,1,568.0,22.0,1.0,0
38.0,1,40.0,5.0,1.0,10.0,1,2,236.0,28.0,1.0,2
48.0,0,8.0,13.0,6.0,3.0,0,2,931.0,20.0,1.0,3
44.0,0,3.0,17.0,1.0,2.0,2,2,944.5,6.0,0.0,3
25.0,0,52.0,8.0,1.0,12.0,2,2,889.61,2.0,0.0,3
47.0,1,52.0,5.0,1.0,2.0,0,2,911.78,17.0,0.0,2
29.0,1,17.0,23.0,0.0,15.0,2,0,702.93,23.0,0.0,1
22.0,1,49.0,20.0,0.0,0.0,1,0,546.31,25.0,0.0,1
42.0,0,18.0,23.0,4.0,16.0,0,2,610.54,11.0,0.0,3
46.0,1,23.0,13.0,9.0,0.0,1,0,794.0,16.0,1.0,1
24.0,0,5.0,18.0,7.0,4.0,0,2,553.0,13.0,1.0,3
22.0,1,20.0,19.0,2.0,2.0,0,0,696.02,27.0,0.0,1
40.0,0,44.0,1.0,3.0,0.0,0,1,550.0,4.0,1.0,3
58.0,1,17.0,8.0,3.0,26.0,2,1,219.0,18.0,1.0,0
49.0,0,28.0,29.0,8.0,9.0,2,2,829.0,30.0,1.0,0
30.0,1,24.0,27.0,6.0,24.0,1,2,736.0,12.0,1.0,2
37.0,1,11.0,27.0,0.0,1.0,2,0,916.78,20.0,0.0,1
24.0,1,52.0,12.0,6.0,25.0,2,0,813.21,23.0,1.0,1
27.0,1,51.0,14.0,8.0,26.0,0,1,922.0,23.0,1.0,0
45.0,1,58.0,2.0,2.0,14.0,1,2,829.28,24.0,0.0,2
31.0,1,40.0,6.0,7.0,8.0,1,2,861.0,7.0,1.0,2
